Эйлер результаты:
x               y_numeric       y_exact         error
0.000000        1.000000        1.000000        0.000000
0.100000        1.000000        1.004988        0.004988
0.200000        1.010000        1.019800        0.009800
0.300000        1.029900        1.043993        0.014092
0.400000        1.059301        1.076828        0.017527
0.500000        1.097511        1.117295        0.019785
0.600000        1.143548        1.164121        0.020573
0.700000        1.196162        1.215795        0.019633
0.800000        1.253847        1.270592        0.016745
0.900000        1.314867        1.326604        0.011737
1.000000        1.377283        1.381773        0.004490

Рунге-Кутта результаты:
x               y_numeric       y_exact         error
0.000000        1.000000        1.000000        0.000000
0.100000        1.004988        1.004988        0.000000
0.200000        1.019800        1.019800        0.000000
0.300000        1.043992        1.043993        0.000000
0.400000        1.076828        1.076828        0.000000
0.500000        1.117295        1.117295        0.000000
0.600000        1.164121        1.164121        0.000000
0.700000        1.215794        1.215795        0.000001
0.800000        1.270591        1.270592        0.000001
0.900000        1.326603        1.326604        0.000001
1.000000        1.381772        1.381773        0.000001

Адамс-Башфорт-Мултон результаты:
x               y_numeric       y_exact         error
0.000000        1.000000        1.000000        0.000000
0.100000        1.004988        1.004988        0.000000
0.200000        1.019800        1.019800        0.000000
0.300000        1.043992        1.043993        0.000000
0.400000        1.077270        1.076828        0.000441
0.500000        1.117444        1.117295        0.000149
0.600000        1.163298        1.164121        0.000823
0.700000        1.213184        1.215795        0.002610
0.800000        1.265308        1.270592        0.005284
0.900000        1.317710        1.326604        0.008895
1.000000        1.368308        1.381773        0.013465
