Метод стрельбы результаты:
x               y_numeric       y_exact         error
1.000000        0.367879        0.367879        0.000000
1.100000        0.278552        0.302610        0.024058
1.200000        0.206666        0.250995        0.044329
1.300000        0.147748        0.209640        0.061891
1.400000        0.098620        0.176141        0.077520
1.500000        0.056963        0.148753        0.091790
1.600000        0.021048        0.126185        0.105137
1.700000        -0.010444       0.107461        0.117905
1.800000        -0.038536       0.091833        0.130368
1.900000        -0.064036       0.078720        0.142756
2.000000        -0.087595       0.067668        0.155262

Конечно-разностный метод результаты:
x               y_numeric       y_exact         error
1.000000        -nan    0.367879        nan
1.100000        -nan    0.302610        nan
1.200000        -nan    0.250995        nan
1.300000        -nan    0.209640        nan
1.400000        -nan    0.176141        nan
1.500000        -nan    0.148753        nan
1.600000        -nan    0.126185        nan
1.700000        -nan    0.107461        nan
1.800000        -nan    0.091833        nan
1.900000        -nan    0.078720        nan
2.000000        -nan    0.067668        nan
